name,pid,img_files,series,team,range
Taylor Rayne,3-026,taylor_rayne_3-026.png;taylor_rayne_3-034.png;taylor_rayne_BB-029.png;taylor_rayne_FS-013.png;taylor_rayne_FS-031.png;taylor_rayne_SCH-028.png;taylor_rayne_SCH-034.png,Series 3,Hats,Shopkins
Jade Spade,4-121,jade_spade_4-121.png;jade_spade_4-124.png,Series 4,Petkins,Shopkins
Buncho Bananas,6-013,buncho_bananas_6-013.png,Series 6,Breakfast,Shopkins
Toofs,1-110,toofs_1-110.png;toofs_1-120.png,Series 1,Health & Beauty,Shopkins
Erica Eraser,3-125,erica_eraser_3-125.png;erica_eraser_3-133.png;erica_eraser_BB-039.png,Series 3,Stationery,Shopkins
Greta Sweater,FFC-000,greta_sweater_FFC-000.png,Series 4,Exclusive,Fashion Spree
Floppy,FTC-007,floppy_FTC-007.png,Series 4,Exclusive,Fashion Spree
Cheddar ,FF-003,cheddar__FF-003.png,Series 3,Fast Food,Food Fair
Cookie Nut,4-012,cookie_nut_4-012.png;cookie_nut_4-017.png,Series 4,Bakery,Shopkins
Tootsie Cutie,SHS-021,tootsie_cutie_SHS-021.png;tootsie_cutie_SHS-027.png;tootsie_cutie_SHS-033.png;tootsie_cutie_SPC-003.png,Series 5,Exclusive,Shopkins
Dry-anne,GCC-006,dry-anne_GCC-006.png,Series 4,Exclusive,Shopkins
Wishes,1-085,wishes_1-085.png;wishes_1-095.png;wishes_FF-001.png;wishes_FF-019.png,Series 1,Party Food,Shopkins
Fleur Flour,6-004,fleur_flour_6-004.png,Series 6,Bakery,Shopkins
Bun Bun Slipper,2-111,bun_bun_slipper_2-111.png;bun_bun_slipper_2-119.png;bun_bun_slipper_FS-049.png;bun_bun_slipper_FS-055.png;bun_bun_slipper_SXL-001.png;bun_bun_slipper_SXL-007.png,Series 2,Shoes,Shopkins
Frost T Fridge,3-105,frost_t_fridge_3-105.png;frost_t_fridge_3-114.png;frost_t_fridge_BB-028.png;frost_t_fridge_SCH-027.png,Series 3,Homewares,Shopkins
Garlic Rose,2-005,garlic_rose_2-005.png;garlic_rose_2-013.png,Series 2,Fruit and Veg,Shopkins
Satchel,FCC-005,satchel_FCC-005.png;satchel_FS-040.png;satchel_FS-046.png,Series 3,Exclusive,Fashion Spree
Peta Sneaker,FGF-003,peta_sneaker_FGF-003.png,Series 4,Exclusive,Fashion Spree
Dennis Ball,4-075,dennis_ball_4-075.png;dennis_ball_4-083.png,Series 4,Petshop,Shopkins
Strawberry Kiss,1-003,strawberry_kiss_1-003.png;strawberry_kiss_1-010.png;strawberry_kiss_5-102.png;strawberry_kiss_5-114.png;strawberry_kiss_5-126.png,Series 1,Fruit and Veg,Shopkins
Jilly Jam,4-089,jilly_jam_4-089.png;jilly_jam_4-092.png,Series 4,Petkins,Shopkins
Toasty Slipper,FSF-006,toasty_slipper_FSF-006.png,Series 4,Exclusive,Fashion Spree
Juicy Orange,2-003,juicy_orange_2-003.png;juicy_orange_2-011.png,Series 2,Fruit and Veg,Shopkins
Mobile Mary,3-110,mobile_mary_3-110.png;mobile_mary_3-119.png,Series 3,Homewares,Shopkins
Shaky,FF-009,shaky_FF-009.png,Series 3,Fast Food,Food Fair
Kris P Lettuce,4-001,kris_p_lettuce_4-001.png;kris_p_lettuce_4-006.png;kris_p_lettuce_GCC-000.png,Series 4,Fruit and Veg,Shopkins
Chocky Box,3-054,chocky_box_3-054.png;chocky_box_3-063.png;chocky_box_SHS-052.png;chocky_box_SHS-058.png;chocky_box_VAL-002.png,Series 3,Sweet Treats,Shopkins
Roxy Ring,3-142,roxy_ring_3-142.png,Series 3,Limited Edition,Shopkins
Spinderella,5-154,spinderella_5-154.png,Series 5,Limited Edition,Shopkins
Pancake Jake,4-023,pancake_jake_4-023.png;pancake_jake_4-028.png,Series 4,Sweet Treats,Shopkins
Berry Tubs,6-045,berry_tubs_6-045.png,Series 6,Sweets,Shopkins
Silky,1-105,silky_1-105.png;silky_1-115.png,Series 1,Health & Beauty,Shopkins
Rainbow Bite,1-084,rainbow_bite_1-084.png;rainbow_bite_1-094.png;rainbow_bite_FF-037.png;rainbow_bite_FF-043.png,Series 1,Party Food,Shopkins
Lana Lamp,2-024,lana_lamp_2-024.png;lana_lamp_2-033.png,Series 2,Homewares,Shopkins
Dishy Liquid,2-087,dishy_liquid_2-087.png;dishy_liquid_2-096.png,Series 2,Cleaning & Laundry,Shopkins
Briana Banana Smoothie,6-053,briana_banana_smoothie_6-053.png,Series 6,Breakfast,Shopkins
Tegan Tea,6-052,tegan_tea_6-052.png,Series 6,Breakfast,Shopkins
